species,collection,item,asset,measure,value
Anoura luismanueli,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,NaN
Anoura luismanueli,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,NaN
Anoura luismanueli,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,NaN
Anoura luismanueli,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,NaN
Anoura peruana,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,NaN
Anoura peruana,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,NaN
Anoura peruana,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,NaN
Anoura peruana,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,NaN
Anoura peruana,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,NaN
Anthops ornatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,NaN
Anthops ornatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,NaN
Anthops ornatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,NaN
Anthops ornatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,NaN
Anthops ornatus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,NaN
Antrozous pallidus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,38.60823529411766
Antrozous pallidus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,39.95
Antrozous pallidus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,71.6
Antrozous pallidus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,16.11
Antrozous pallidus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,13.243587424726389
Aproteles bulmerae,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,NaN
Aproteles bulmerae,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,NaN
Aproteles bulmerae,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,NaN
Aproteles bulmerae,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,NaN
Aproteles bulmerae,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,NaN
Ardops nichollsi,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,45.79917293233084
Ardops nichollsi,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,41.5
Ardops nichollsi,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,82.44
Ardops nichollsi,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,16.0
Ardops nichollsi,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,15.098473786261094
Arielulus cuprosus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,75.03592592592594
